State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Amer. Samoa,28183,,,,2020,2,2018,10,
Amer. Samoa,28183,,,,2020,2,2019,1,
Totals,70888822,7934664,5750308,2184356,2016,12,2014,4,
Kansas,369499,,,,2020,2,2019,1,
N. Mariana Islands,15963,,,,2020,2,2019,2,
Totals,75153292,15448306,12201118,3247188,2020,2,2019,2,
Amer. Samoa,37829,,,,2020,2,2019,4,
Georgia,1941288,,,,2020,2,2018,8,
Amer. Samoa,27898,,,,2020,2,2018,9,
Ohio,2919452,590989,590699,290,2020,2,2018,9,
Wyoming,57513,,,,2020,2,2018,9,
Vermont,174201,57473,0,57473,2020,2,2018,9,
Puerto Rico,1241794,411936,,411936,2020,2,2018,9,
New Hampshire,186728,55024,54727,297,2020,2,2018,9,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Virgin Islands,25474,11347,,11347,2020,2,2018,9,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
New Jersey,1674135,555514,555514,0,2020,2,2018,9,
North Dakota,91096,19872,18885,987,2020,2,2018,9,
Wisconsin,1181756,,,,2020,2,2018,9,
Pennsylvania,2855345,770564,731789,38775,2020,2,2018,9,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1073040,0,0,0,2020,2,2018,9,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Tennessee,1496795,,,,2020,2,2018,9,
New Mexico,826594,248307,248307,0,2020,2,2018,9,
South Carolina,1262242,,,,2020,2,2018,9,
West Virginia,534034,163554,163554,0,2020,2,2018,9,
Oregon,947809,451491,375958,75533,2020,2,2018,9,
Texas,4254778,,,,2020,2,2018,9,
Washington,1759640,561298,547730,13568,2020,2,2018,9,
New York,6150250,1915271,299091,1616180,2020,2,2018,9,
Iowa,604187,167984,153533,14451,2020,2,2018,9,
Guam,36437,4151,,4151,2020,2,2018,11,
Alaska,206277,48272,48270,2,2020,2,2018,9,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Massachusetts,1442299,334027,0,334027,2020,2,2019,4,
Michigan,2420714,687460,633017,54443,2020,2,2018,12,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
South Carolina,1264623,,,,2020,2,2018,11,
